city,state,country,faith,hiphop,latin,pop,rock
Albuquerque,NM,0.511925416991573,0.03447113438601284,1.0,0.059401062802211434,0.7266236533939486,0.21615354167400047
Anaheim,CA,0.39619483555006213,0.04743950488420409,1.0,0.027336599588463947,0.851846518494422,0.09637600108819382
Asbury Park,NJ,0.2965470688761972,0.0,0.9114256257739253,0.0,0.8240032947107732,1.0
Athens,GA,0.1688286998369328,0.0,1.0,0.0,0.621974306964165,0.27549780256930356
Baltimore,MD,0.3833719242487369,0.6034626743504375,1.0,0.3773933434357959,0.342581879721703,0.21342449146636874
Birmingham,AL,0.371593407189151,0.7116876334423915,1.0,0.0,0.8541858105391369,0.46220604273228594
Boise,ID,1.0,0.3334204223818855,0.6618187096305973,0.0,0.813847158719791,0.6624745165568158
Buffalo,NY,0.25245838000944376,0.41861274982139596,0.9063957989455836,0.0,1.0,0.09165046876895824
Cambridge,MA,0.14114878464158537,0.0,0.4626761108530732,0.0,1.0,0.5844326657741592
Charleston,SC,0.7266691534408396,0.0,1.0,0.0,0.9890100826821172,0.8428964795900198
Charlotte,NC,0.40493091751620974,0.2449829336343569,1.0,0.7015240318285406,0.816640788076226,0.2873300788040248
Cincinnati,OH,0.2511825315858801,0.13878760006723478,1.0,0.0507822062416309,0.5705275830446126,0.22721676493050713
Cleveland,OH,0.17180520413581984,0.5704289775135996,1.0,0.549387525603438,0.8126377230678611,0.3245645742131546
Columbia,SC,0.18062386982359493,0.35880253375280385,0.519703243372882,0.0,1.0,0.8109243401097583
Columbus,OH,0.2503773813980847,0.27926387525630236,0.6750984166017541,1.0,0.5553979803201727,0.16493685984714088
Des Moines,IA,0.5971396865892992,1.0,0.5409394024247327,0.0,0.6677417905133283,0.28873925581197313
Grand Rapids,MI,0.4413035790680338,0.44596407569841673,0.7785492988222599,0.7316195100966464,1.0,0.4755321747436192
Greensboro,NC,0.24671986838465376,0.45068386321901555,1.0,0.0,0.9932975983118539,0.2684692120058393
Greenville,SC,0.8678455165136899,1.0,0.5259141132247408,0.0,0.0,0.7026939286934729
Indianapolis,IN,0.3681154941970082,0.379463973966844,1.0,0.08519084928981438,0.8143171614491848,0.28877765995962673
Jacksonville,FL,0.5084676410965445,0.21277455040950155,1.0,0.0,0.17115688141266386,0.34323840854814536
Kansas City,MO,0.23438143062965344,0.3779159842958547,0.33613849265880674,0.0,1.0,0.28419248626869414
Knoxville,TN,0.29909999817443844,0.3187335741722262,1.0,0.0,0.0,0.38699780204780265
Louisville,KY,0.4329269628027453,0.7020072660243701,1.0,0.10546720108025849,0.7267581662397787,0.27399762286868645
Madison,WI,0.4579188014493933,0.0,0.3237076093144298,0.0,1.0,0.7259454037789046
Memphis,TN,0.22114277115465478,0.4921171788824494,0.5277355248002632,0.08347807009525203,1.0,0.11438835767958022
